case_id,symptom,topology_note,show_output,expected_fault,alternative_faults,osi_layer,concept_tag,severity,next_command,expected_fix,evidence_expected,confidence_expected_range
CASE001,PC in VLAN 10 cannot communicate with devices in same VLAN,PC1 connected to SW1 Fa0/1; PC2 is in VLAN 10; Fa0/1 should be an access port in VLAN 10,show vlan brief: Fa0/1 is listed under VLAN 1; VLAN 10 exists and is active,Wrong switchport VLAN assignment,Port is administratively down,Layer 2,VLAN,High,show interfaces fa0/1 switchport,Assign Fa0/1 to VLAN 10 and verify connectivity,Fa0/1 is shown under VLAN 1 while it should be in VLAN 10.,0.85-1.00
CASE002,PC cannot reach default gateway,PC1: 192.168.10.20/24; gateway should be 192.168.10.1,ipconfig: IPv4 192.168.10.20; Default Gateway 192.168.1.1,Incorrect default gateway,ARP failure or gateway interface down,Layer 3,Gateway,High,ping 192.168.10.1,Configure default gateway as 192.168.10.1,The host is in 192.168.10.0/24 but its configured gateway is in 192.168.1.0/24.,0.85-1.00
CASE003,PC receives no IP address,PC is connected to DHCP-enabled VLAN; DHCP server is on the same network,ipconfig: 169.254.10.5; show ip dhcp pool: 254/254 addresses leased,DHCP pool exhausted,Wrong VLAN or DHCP service unavailable,Layer 7,DHCP,High,show ip dhcp pool,Expand/reconfigure the DHCP pool and renew the client lease,"The DHCP pool shows all 254 addresses leased, so no address is available.",0.90-1.00
CASE004,PC can ping server IP but cannot open server by name,DNS server should resolve server.local to 192.168.30.10,nslookup server.local: request timed out; ping 192.168.30.10 succeeds,DNS resolution failure,DNS server unreachable; DNS service unavailable,Layer 7,DNS,Medium,ping <DNS-server-IP> and nslookup server.local,Configure/reach the correct DNS server and verify resolution,The hostname lookup times out while direct IP connectivity succeeds.,0.55-0.80
CASE005,VLAN 20 users cannot reach VLAN 30 server,Router-on-a-stick topology between SW1 and R1; VLAN 30 must cross SW1-R1 trunk,"show interfaces trunk: allowed VLANs 10,20; VLAN 30 absent",Trunk VLAN not allowed,Missing router subinterface,Layer 2,VLAN/Trunk,High,show run interface g0/1,Allow VLAN 30 on the trunk and verify the VLAN exists,VLAN 30 is absent from the trunk allowed list.,0.90-1.00
CASE006,Two different networks cannot communicate,R1 connects 192.168.10.0/24 and 192.168.20.0/24,show ip route: connected 192.168.10.0/24; no route for 192.168.20.0/24,Missing static route,ACL blocking the destination,Layer 3,Routing,High,show ip route,Configure a route to 192.168.20.0/24 via the correct next hop,The destination 192.168.20.0/24 is absent from the routing table.,0.90-1.00
CASE007,HTTP traffic to server is blocked but ping works,ACL is configured on the router interface toward server 10.0.0.10,show access-lists: deny tcp any host 10.0.0.10 eq 80; ICMP is permitted,ACL blocking HTTP traffic,Server HTTP service down,Layer 4,ACL,High,show run interface g0/1,Modify the ACL to permit required HTTP traffic,The ACL explicitly denies TCP port 80 to 10.0.0.10 while ICMP is permitted.,0.90-1.00
CASE008,Internal PC cannot access internet,Private LAN uses NAT overload on edge router,show ip nat translations: empty; show run interface g0/0: no ip nat inside; G0/1 has ip nat outside,NAT not configured on inside interface,Missing default route,Layer 3,NAT,High,show ip nat statistics,Mark the LAN interface as ip nat inside and verify PAT configuration,The LAN interface lacks ip nat inside and the NAT translation table is empty.,0.90-1.00
CASE009,Wireless client connects to SSID but gets no IP,AP is connected to a DHCP-enabled LAN,ipconfig: 169.254.x.x; show ip dhcp pool: 254/254 addresses leased,DHCP pool exhausted,AP-to-switch VLAN mismatch,Layer 7,Wireless/DHCP,High,show ip dhcp pool,Provide available DHCP addresses and renew the wireless client lease,The client has a link-local address and the DHCP pool has no available addresses.,0.85-1.00
CASE010,Wireless client cannot join Wi-Fi,SSID is visible and WPA2 is enabled,AP security configuration: WPA2-PSK key = NetSage123; client authentication failed with different key,Incorrect wireless security key,SSID hidden or radio disabled,Layer 2,Wireless,Medium,show running-config | section wlan,Correct the client/AP security key and reconnect,The AP and client use different WPA2-PSK keys.,0.90-1.00
CASE011,Interface between router and switch is down,R1 G0/0 connects to SW1 G0/1,"show ip interface brief: G0/0 administratively down, line protocol down",Interface shutdown,Cable disconnected,Layer 1,Interface,High,show run interface g0/0,Enter no shutdown on G0/0 and verify link status,G0/0 is administratively down.,0.95-1.00
CASE012,PC intermittently loses network connection,PC connected to SW1 Fa0/1 using a damaged cable,show interfaces fa0/1: input errors 125; CRC 98; line protocol up,Physical link/cabling problem,Duplex mismatch; damaged cable,Layer 1,Physical,Medium,show interfaces fa0/1,Replace the cable/repair the physical connection and retest,CRC and input errors are increasing on the physical interface.,0.60-0.85
CASE013,Hosts in VLAN 40 cannot communicate though ports are assigned correctly,SW1 should have VLAN 40 created,show vlan brief: VLAN 40 is not present; Fa0/5 and Fa0/6 are assigned to default VLAN 1,Missing VLAN creation,Incorrect access-port assignment,Layer 2,VLAN,High,show vlan brief,Create VLAN 40 and assign the required access ports,VLAN 40 is absent from the switch VLAN database.,0.90-1.00
CASE014,PC gets IP address but wrong subnet mask,DHCP pool is intended for a /24 network,ipconfig: 192.168.50.10; subnet mask 255.255.0.0; expected 255.255.255.0,Incorrect DHCP subnet mask,Wrong client static configuration,Layer 3,DHCP/IP Addressing,High,show running-config | section dhcp,Correct the DHCP pool network/mask and renew the client lease,The client receives /16 instead of the expected /24 mask.,0.90-1.00
CASE015,Branch LAN cannot reach headquarters,R1 and R2 are connected by a WAN link; HQ network is 10.10.0.0/24,show ip route: 10.10.0.0/24 via 172.16.1.9; actual R2 next hop is 172.16.1.2,Incorrect static route next hop,WAN link down; incorrect next hop; missing route,Layer 3,Routing,High,show ip route and show ip interface brief,Correct the static route next-hop address,The route points to 172.16.1.9 although the actual next hop is 172.16.1.2.,0.60-0.85
CASE016,Only one department cannot access a server,Department subnet 192.168.60.0/24 has an ACL on the router,show access-lists: deny ip 192.168.60.0 0.0.0.255 host 10.0.0.20; other departments are permitted,ACL incorrectly blocks subnet,Server is down,Layer 3/4,ACL,High,show run interface g0/1,Remove or modify the incorrect ACL deny rule,The ACL explicitly denies the entire 192.168.60.0/24 subnet to the server.,0.90-1.00
CASE017,Internal hosts access internet but cannot receive return traffic,PAT is configured on edge router; G0/0 is inside and G0/1 is outside,show run interface g0/0: ip nat inside; show run interface g0/1: no ip nat outside,NAT outside interface missing,Incorrect default route,Layer 3,NAT,High,show ip nat statistics,Configure ip nat outside on the Internet-facing interface,The outside interface has no ip nat outside configuration.,0.90-1.00
CASE018,Two PCs have the same IP and connectivity is unstable,PC1 and PC2 are manually configured on the same subnet,arp -a: 192.168.70.20 appears with different MAC addresses at different times,Duplicate IP address,ARP cache corruption,Layer 3,IP Addressing,Critical,show ip arp,Assign unique IP addresses and clear stale ARP entries if needed,The same IP appears with different MAC addresses in ARP.,0.95-1.00
CASE019,PC cannot communicate outside local network,PC address is 192.168.70.20/24,ipconfig: IPv4 192.168.70.20; Default Gateway: blank,Missing default gateway,Incorrect subnet mask,Layer 3,Gateway,High,ipconfig /all,Configure the correct default gateway,The host has no default gateway configured.,0.95-1.00
CASE020,Users cannot browse a website by hostname after DNS server change,Clients should use internal DNS 10.0.0.53,ipconfig /all: DNS Servers 8.8.8.8 only; nslookup internal.example.local: NXDOMAIN,Wrong DNS server address,DNS record missing,Layer 7,DNS,Medium,nslookup internal.example.local,Configure 10.0.0.53 as DNS and verify the internal record,Clients use 8.8.8.8 instead of internal DNS 10.0.0.53 and the internal name returns NXDOMAIN.,0.90-1.00
CASE021,Inter-VLAN communication fails on router-on-a-stick,R1 G0/0 uses subinterfaces for VLAN 10 and VLAN 20,show run interface g0/0.20: encapsulation dot1Q 200; expected VLAN ID is 20,Wrong 802.1Q VLAN ID,Trunk is down,Layer 2/3,Inter-VLAN Routing,High,show interfaces trunk,Change encapsulation to dot1Q 20 and verify trunk VLAN 20,Subinterface G0/0.20 uses dot1Q 200 instead of VLAN 20.,0.95-1.00
